10629,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10630,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10630,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10631,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10633,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10634,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10634,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10635,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10639,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10640,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,49
10641,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10641,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10642,8,8,8,8,8,8,8,8,3,3,3,3,4,15,15,15,1,43,49
10642,3,3,3,3,3,3,3,3,3,3,3,3,4,15,15,15,1,43,49
10643,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10643,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
10644,5,5,5,5,5,5,5,5,5,5,5,5,49,49,49,49,49,49,49
